REMOVE4a,REMOVE4b,PLAYER_ID,PLAYER,GIR_off_Fairway%,REMOVE4c,REMOVE4d
1,0,27064,Jhonattan Vegas,65.66%,130,198
2,0,54576,Patrick Fishburn,63.77%,132,207
3,0,47663,Kevin Dougherty,61.70%,145,235
4,0,32757,Patton Kizzire,60.89%,123,202
5,6,48887,Matt Wallace,60.58%,209,345
6,0,55893,Sam Stevens,60.53%,227,375
7,0,52372,Cameron Champ,60.39%,125,207
8,0,51696,Rico Hoey,60.38%,157,260
9,0,51890,Greyson Sigg,60.32%,152,252
10,0,50484,Hayden Springer,60.16%,154,256
11,1,59095,Chris Gotterup,59.94%,214,357
12,-7,46046,Scottie Scheffler,59.27%,163,275
13,3,39324,J.J. Spaun,59.03%,170,288
14,4,39546,Keith Mitchell,58.68%,186,317
15,2,29725,Tony Finau,58.65%,217,370
16,-3,51287,Ryo Hisatsune,58.33%,182,312
17,-2,46717,Viktor Hovland,58.23%,138,237
17,2,51997,Andrew Novak,58.23%,191,328
19,1,39327,Ben Silverman,58.19%,174,299
20,1,40006,Erik van Rooyen,58.16%,196,337
21,2,46113,Ryan McCormick,58.03%,159,274
22,3,27139,David Skinns,57.67%,173,300
23,3,34255,Joseph Bramlett,57.48%,196,341
23,3,32640,Troy Merritt,57.48%,146,254
25,-1,47679,Victor Perez,57.36%,187,326
26,-4,32367,Jorge Campillo,57.26%,142,248
27,2,54421,Garrick Higgo,57.05%,182,319
28,2,34587,Chan Kim,57.04%,158,277
29,2,35310,Lanto Griffin,56.91%,140,246
30,4,38991,Alejandro Tosti,56.74%,181,319
31,-17,46414,Aaron Rai,56.57%,155,274
32,5,36699,Patrick Rodgers,56.22%,208,370
33,6,40162,Justin Lower,56.10%,193,344
34,6,59836,Pierceson Coody,56.03%,172,307
35,1,27349,Alex Noren,55.93%,165,295
36,6,37275,Sam Ryder,55.86%,143,256
37,-9,24502,Adam Scott,55.78%,193,346
38,15,48081,Xander Schauffele,55.69%,186,334
39,5,26596,Ryan Moore,55.50%,116,209
40,-8,51634,Sahith Theegala,55.44%,214,386
41,4,45242,Kevin Yu,55.37%,165,298
42,4,34076,Joel Dahmen,55.36%,155,280
43,4,60004,Jacob Bridgeman,55.35%,150,271
44,-6,35532,Tom Hoge,55.30%,214,387
45,4,40250,Taylor Pendrith,55.29%,183,331
46,-13,49947,Taylor Moore,55.28%,220,398
46,4,46340,Alex Smalley,55.28%,136,246
48,4,39975,Michael Kim,55.26%,189,342
49,6,47988,Nick Hardy,55.07%,190,345
50,6,54783,Dylan Wu,55.05%,169,307
51,6,48699,Callum Tarren,55.03%,164,298
52,7,48319,Tom Whitney,54.90%,112,204
53,7,51600,Jimmy Stanger,54.89%,101,184
54,-13,33948,Byeong Hun An,54.86%,220,401
55,7,33408,Tyson Alexander,54.69%,169,309
56,-6,30926,Chris Kirk,54.58%,167,306
57,4,54591,Ben Griffin,54.57%,251,460
58,9,33413,Ben Martin,54.42%,123,226
59,9,60067,Joe Highsmith,54.35%,125,230
60,-3,32839,Hideki Matsuyama,54.34%,188,346
61,-14,52215,Robert MacIntyre,54.24%,192,354
62,8,51977,Max Greyserman,54.19%,168,310
63,11,29908,C.T. Pan,54.15%,124,229
64,7,23320,Ryan Palmer,54.07%,93,172
65,9,27214,Kevin Streelman,53.85%,133,247
65,-30,58168,Davis Thompson,53.85%,203,377
67,-4,28237,Rory McIlroy,53.80%,163,303
68,8,40026,Daniel Berger,53.76%,100,186
69,-15,34046,Jordan Spieth,53.75%,179,333
70,19,48117,Kurt Kitayama,53.69%,189,352
71,-6,39997,Corey Conners,53.68%,197,367
72,7,32070,Rafael Campos,53.52%,114,213
73,-4,52955,Ludvig Åberg,53.44%,163,305
74,6,52374,Brandon Wu,53.41%,149,279
75,6,34256,Andrew Putnam,53.28%,146,274
76,8,34563,Chesson Hadley,53.26%,139,261
77,-5,29936,Ryan Fox,53.24%,222,417
78,-12,51766,Wyndham Clark,53.20%,183,344
79,6,28420,Ryan Brehm,53.17%,134,252
80,6,28775,Nate Lashley,53.16%,101,190
81,6,50493,Justin Suh,53.11%,128,241
82,1,56630,Akshay Bhatia,53.05%,174,328
83,5,47420,Jake Knapp,53.02%,202,381
84,6,57975,Harry Hall,52.91%,191,361
85,6,27770,Camilo Villegas,52.89%,128,242
86,6,51894,Vince Whaley,52.84%,149,282
87,6,52514,Trace Crowe,52.71%,107,203
88,6,51349,Nico Echavarria,52.61%,151,287
89,-26,33448,Justin Thomas,52.58%,163,310
90,6,27936,Martin Laird,52.48%,127,242
91,6,52513,Carson Young,52.47%,117,223
92,13,25493,Nick Taylor,52.40%,175,334
93,5,35461,Beau Hossler,52.39%,186,355
94,5,33204,Shane Lowry,52.34%,134,256
95,-18,33968,Thorbjørn Olesen,52.28%,149,285
96,-53,24024,Zach Johnson,52.25%,93,178
97,6,36799,Stephan Jaeger,52.24%,175,335
98,3,33486,Roger Sloan,52.20%,107,205
99,3,52375,Doug Ghim,52.19%,119,228
100,4,47983,Chad Ramey,52.05%,127,244
101,6,27129,Luke List,51.99%,170,327
102,8,36326,David Lipsky,51.87%,125,241
103,6,57366,Cameron Young,51.82%,199,384
104,8,22371,Aaron Baddeley,51.76%,147,284
105,0,31323,Gary Woodland,51.75%,192,371
106,7,59442,Parker Coody,51.70%,167,323
107,-29,37455,Si Woo Kim,51.68%,169,327
108,6,59866,Nick Dunlap,51.62%,159,308
109,-14,31646,Emiliano Grillo,51.55%,183,355
109,-28,37378,Min Woo Lee,51.55%,150,291
111,5,26476,Chez Reavie,51.47%,105,204
111,5,47995,Davis Riley,51.47%,158,307
111,4,47347,Adam Schenk,51.47%,192,373
114,9,34098,Russell Henley,51.33%,135,263
115,4,36871,Matt NeSmith,51.27%,141,275
116,-16,28089,Jason Day,51.04%,171,335
117,-10,52453,Nicolai Højgaard,51.00%,178,349
118,6,36801,Mark Hubbard,50.97%,158,310
119,6,45609,Tyler Duncan,50.96%,106,208
119,-9,48153,Matthieu Pavon,50.96%,133,261
121,10,50497,Adrien Dumont de Chassart,50.80%,159,313
122,10,55454,Carl Yuan,50.79%,128,252
123,-5,51070,Vincent Norrman,50.76%,134,264
124,9,37212,Paul Barjon,50.72%,106,209
125,9,48867,Matti Schmid,50.71%,142,280
126,9,50188,S.H. Kim,50.65%,233,460
127,21,50525,Collin Morikawa,50.60%,127,251
128,26,22405,Justin Rose,50.52%,145,287
129,1,33141,Keegan Bradley,50.48%,158,313
130,7,40058,Zac Blair,50.45%,113,224
131,7,28252,Seamus Power,50.44%,172,341
132,7,57900,Chandler Phillips,50.35%,143,284
133,7,46441,Robby Shelton,50.34%,149,296
134,0,30163,Henrik Norlander,50.32%,79,157
135,-6,30911,Tommy Fleetwood,50.20%,127,253
135,-14,49960,Sepp Straka,50.20%,124,247
137,4,48119,Ben Taylor,50.19%,134,267
138,8,47504,Sam Burns,50.17%,150,299
138,-10,29420,Billy Horschel,50.17%,149,297
140,17,35450,Patrick Cantlay,50.16%,156,311
140,2,33653,Thomas Detry,50.16%,157,313
142,-15,39971,Sungjae Im,50.15%,169,337
143,0,57362,Austin Eckroat,50.00%,147,294
143,-18,46442,Maverick McNealy,50.00%,163,326
145,-9,33399,Adam Hadwin,49.84%,158,317
146,-26,47483,Will Zalatoris,49.83%,145,291
147,0,34374,Erik Barnes,49.80%,125,251
148,1,29221,Webb Simpson,49.77%,110,221
149,1,29478,Kevin Kisner,49.75%,98,197
150,2,32791,K.H. Lee,49.58%,117,236
151,2,27644,Brian Harman,49.56%,169,341
152,-1,39977,Max Homa,49.38%,198,401
153,2,34466,Peter Malnati,49.34%,187,379
154,4,34213,Grayson Murray,49.22%,95,193
155,-33,52666,Sami Valimaki,49.19%,122,248
156,4,55708,Hayden Buckley,48.99%,121,247
157,4,12716,Charley Hoffman,48.90%,133,272
158,4,27649,Brandt Snedeker,48.65%,108,222
159,4,59143,Mac Meissner,48.53%,132,272
159,4,40115,Adam Svensson,48.53%,182,375
161,-16,40098,Matt Fitzpatrick,48.46%,157,324
162,3,55789,Taylor Montgomery,48.42%,138,285
163,4,35506,Mackenzie Hughes,48.40%,197,407
164,-21,32102,Rickie Fowler,48.35%,176,364
165,-9,30927,Brendon Todd,47.81%,153,320
166,2,45157,Cam Davis,47.62%,160,336
167,-8,25900,Lucas Glover,47.42%,138,291
168,-2,34099,Harris English,47.26%,164,347
169,0,54628,Lee Hodges,47.09%,154,327
170,0,36884,Ben Kohles,47.06%,104,221
171,1,49771,J.T. Poston,46.56%,142,305
172,-1,55182,Tom Kim,46.15%,162,351
173,0,47591,Eric Cole,45.66%,205,449
174,0,45522,Christiaan Bezuidenhout,44.82%,147,328
175,0,24980,Scott Gutschewski,44.09%,82,186
176,0,23108,Matt Kuchar,43.44%,96,221
177,-2,47993,Denny McCarthy,42.67%,163,382
178,-1,34310,Alexander Björk,40.45%,72,178