REMOVE5a,REMOVE5b,PLAYER_ID,PLAYER,GIR_on_Fairway%,REMOVE5c,REMOVE5d
1,1,35310,Lanto Griffin,83.70%,303,362
2,-1,46046,Scottie Scheffler,83.67%,461,551
3,0,48081,Xander Schauffele,81.80%,445,544
3,1,45242,Kevin Yu,81.80%,337,412
5,1,39546,Keith Mitchell,81.45%,382,469
6,0,30163,Henrik Norlander,81.15%,254,313
7,1,34255,Joseph Bramlett,81.07%,304,375
8,1,27064,Jhonattan Vegas,80.86%,262,324
9,1,35461,Beau Hossler,80.78%,353,437
10,-5,33948,Byeong Hun An,80.54%,389,483
11,1,52375,Doug Ghim,80.48%,404,502
12,1,39975,Michael Kim,80.45%,325,404
13,1,36871,Matt NeSmith,80.43%,337,419
14,-7,39997,Corey Conners,80.38%,549,683
15,0,47988,Nick Hardy,80.27%,362,451
16,-5,51070,Vincent Norrman,80.17%,291,363
17,1,54783,Dylan Wu,80.09%,350,437
18,1,12716,Charley Hoffman,80.06%,269,336
19,2,52955,Ludvig Åberg,79.85%,416,521
20,1,29725,Tony Finau,79.84%,404,506
21,-5,58168,Davis Thompson,79.80%,470,589
22,-2,32070,Rafael Campos,79.74%,248,311
23,0,59442,Parker Coody,79.56%,292,367
23,8,54591,Ben Griffin,79.56%,471,592
25,1,48867,Matti Schmid,79.47%,302,380
26,1,32757,Patton Kizzire,79.45%,259,326
27,-10,51766,Wyndham Clark,79.44%,313,394
28,0,33486,Roger Sloan,79.42%,274,345
29,0,36699,Patrick Rodgers,79.27%,390,492
30,2,59836,Pierceson Coody,79.07%,306,387
31,2,59143,Mac Meissner,79.05%,332,420
32,2,27139,David Skinns,79.01%,286,362
33,-9,51634,Sahith Theegala,78.99%,455,576
34,1,46113,Ryan McCormick,78.78%,219,278
35,1,40006,Erik van Rooyen,78.76%,382,485
36,1,55708,Hayden Buckley,78.74%,363,461
37,1,55893,Sam Stevens,78.70%,399,507
38,12,57366,Cameron Young,78.69%,458,582
39,1,57975,Harry Hall,78.59%,345,439
40,2,47995,Davis Riley,78.55%,337,429
41,0,55182,Tom Kim,78.54%,527,671
42,-12,52453,Nicolai Højgaard,78.45%,324,413
43,2,28252,Seamus Power,78.41%,443,565
44,-19,48887,Matt Wallace,78.40%,294,375
45,-6,51287,Ryo Hisatsune,78.38%,406,518
45,1,34587,Chan Kim,78.38%,388,495
47,0,54576,Patrick Fishburn,78.37%,250,319
48,0,34076,Joel Dahmen,78.33%,412,526
48,0,36326,David Lipsky,78.33%,300,383
50,-6,46414,Aaron Rai,78.32%,542,692
51,11,33448,Justin Thomas,78.28%,310,396
52,-1,51997,Andrew Novak,78.18%,344,440
53,-1,51349,Nico Echavarria,78.12%,407,521
54,-1,27936,Martin Laird,78.11%,289,370
55,-12,33141,Keegan Bradley,78.06%,402,515
56,-1,48119,Ben Taylor,77.99%,202,259
57,-1,47663,Kevin Dougherty,77.96%,244,313
58,-1,50497,Adrien Dumont de Chassart,77.84%,295,379
59,-1,34563,Chesson Hadley,77.81%,270,347
60,0,51977,Max Greyserman,77.80%,326,419
61,0,39327,Ben Silverman,77.78%,413,531
62,1,60067,Joe Highsmith,77.64%,250,322
63,1,27349,Alex Noren,77.50%,427,551
64,3,37378,Min Woo Lee,77.49%,334,431
65,0,26596,Ryan Moore,77.45%,371,479
66,2,52513,Carson Young,77.37%,383,495
67,-9,46717,Viktor Hovland,77.35%,304,393
67,2,40115,Adam Svensson,77.35%,519,671
69,1,32791,K.H. Lee,77.33%,307,397
70,3,32839,Hideki Matsuyama,77.25%,394,510
71,0,26476,Chez Reavie,77.23%,312,404
72,0,46340,Alex Smalley,77.20%,281,364
73,1,40162,Justin Lower,77.14%,405,525
74,-20,52215,Robert MacIntyre,77.12%,364,472
75,7,47347,Adam Schenk,77.03%,446,579
76,-10,47679,Victor Perez,77.00%,385,500
77,0,40026,Daniel Berger,76.89%,326,424
77,0,37275,Sam Ryder,76.89%,346,450
79,7,49960,Sepp Straka,76.85%,488,635
79,1,51894,Vince Whaley,76.85%,229,298
81,-5,46442,Maverick McNealy,76.83%,378,492
82,-1,60004,Jacob Bridgeman,76.71%,280,365
82,-3,48117,Kurt Kitayama,76.71%,382,498
84,-2,27214,Kevin Streelman,76.64%,269,351
85,-1,51890,Greyson Sigg,76.51%,355,464
86,-1,45609,Tyler Duncan,76.49%,309,404
87,-12,39977,Max Homa,76.42%,389,509
88,-1,40250,Taylor Pendrith,76.40%,340,445
89,23,33204,Shane Lowry,76.33%,403,528
89,0,51600,Jimmy Stanger,76.33%,229,300
91,0,50484,Hayden Springer,76.29%,267,350
91,0,38991,Alejandro Tosti,76.29%,251,329
93,-5,35532,Tom Hoge,76.15%,482,633
94,-4,52666,Sami Valimaki,76.09%,315,414
95,-2,47983,Chad Ramey,76.08%,318,418
96,3,29908,C.T. Pan,76.07%,302,397
97,-1,34046,Jordan Spieth,76.02%,428,563
98,-4,36801,Mark Hubbard,76.01%,491,646
99,-4,27770,Camilo Villegas,75.99%,212,279
100,-4,54628,Lee Hodges,75.95%,461,607
101,-3,55789,Taylor Montgomery,75.89%,192,253
102,1,51696,Rico Hoey,75.74%,306,404
103,-3,27644,Brian Harman,75.73%,493,651
104,0,59095,Chris Gotterup,75.72%,262,346
105,-1,29936,Ryan Fox,75.67%,311,411
106,3,34256,Andrew Putnam,75.57%,396,524
107,3,52374,Brandon Wu,75.49%,345,457
108,0,47504,Sam Burns,75.45%,378,501
109,4,27129,Luke List,75.42%,313,415
109,15,24502,Adam Scott,75.42%,359,476
111,-4,35450,Patrick Cantlay,75.40%,328,435
112,3,59866,Nick Dunlap,75.37%,303,402
113,-13,36799,Stephan Jaeger,75.36%,364,483
113,0,28237,Rory McIlroy,75.36%,370,491
115,3,40098,Matt Fitzpatrick,75.27%,420,558
116,1,47420,Jake Knapp,75.25%,383,509
117,-15,49771,J.T. Poston,75.21%,458,609
118,0,24980,Scott Gutschewski,75.20%,191,254
118,1,50493,Justin Suh,75.20%,276,367
120,-1,25900,Lucas Glover,75.19%,485,645
121,-15,48153,Matthieu Pavon,75.17%,339,451
122,-1,39324,J.J. Spaun,75.13%,293,390
123,0,33399,Adam Hadwin,75.05%,379,505
124,-8,45522,Christiaan Bezuidenhout,74.95%,380,507
125,0,36884,Ben Kohles,74.91%,406,542
126,-15,32367,Jorge Campillo,74.88%,307,410
127,5,28089,Jason Day,74.86%,390,521
128,-1,48319,Tom Whitney,74.73%,281,376
129,-1,45157,Cam Davis,74.71%,384,514
129,11,31646,Emiliano Grillo,74.71%,455,609
129,2,47483,Will Zalatoris,74.71%,322,431
132,-6,30911,Tommy Fleetwood,74.69%,428,573
133,-4,54421,Garrick Higgo,74.68%,289,387
134,-4,57900,Chandler Phillips,74.55%,331,444
135,-14,34099,Harris English,74.47%,461,619
136,-1,46441,Robby Shelton,74.41%,314,422
137,-3,56630,Akshay Bhatia,74.35%,461,620
138,-1,37212,Paul Barjon,74.33%,194,261
139,14,29420,Billy Horschel,74.30%,396,533
140,-1,32102,Rickie Fowler,74.27%,407,548
141,-3,30926,Chris Kirk,74.24%,389,524
142,-6,49947,Taylor Moore,74.20%,417,562
143,-10,39971,Sungjae Im,74.12%,444,599
144,-3,55454,Carl Yuan,74.01%,262,354
145,-2,52372,Cameron Champ,73.93%,190,257
146,-1,34213,Grayson Murray,73.75%,250,339
146,-1,23320,Ryan Palmer,73.75%,236,320
148,-4,25493,Nick Taylor,73.64%,380,516
149,0,47591,Eric Cole,73.51%,480,653
149,3,35506,Mackenzie Hughes,73.51%,383,521
151,-1,28420,Ryan Brehm,73.49%,219,298
152,3,34098,Russell Henley,73.45%,437,595
153,-5,50525,Collin Morikawa,73.38%,463,631
154,-3,37455,Si Woo Kim,73.37%,507,691
155,-1,33653,Thomas Detry,73.25%,345,471
156,0,48699,Callum Tarren,73.21%,246,336
157,1,27649,Brandt Snedeker,73.06%,263,360
158,10,30927,Brendon Todd,73.00%,530,726
159,0,34466,Peter Malnati,72.99%,300,411
160,-19,34310,Alexander Björk,72.97%,251,344
161,0,47993,Denny McCarthy,72.96%,448,614
162,-2,33413,Ben Martin,72.91%,261,358
162,1,33968,Thorbjørn Olesen,72.91%,253,347
164,-2,34374,Erik Barnes,72.73%,208,286
165,-2,28775,Nate Lashley,72.70%,285,392
165,-8,31323,Gary Woodland,72.70%,293,403
167,-2,50188,S.H. Kim,72.64%,401,552
168,-2,32640,Troy Merritt,72.38%,359,496
169,-2,24024,Zach Johnson,72.22%,234,324
170,-1,29221,Webb Simpson,72.21%,252,349
171,-1,33408,Tyson Alexander,72.09%,266,369
172,-1,52514,Trace Crowe,71.99%,221,307
173,0,40058,Zac Blair,71.40%,337,472
174,-2,22405,Justin Rose,71.13%,345,485
175,-1,23108,Matt Kuchar,71.11%,288,405
176,0,22371,Aaron Baddeley,70.74%,266,376
177,-2,57362,Austin Eckroat,70.64%,421,596
178,-1,29478,Kevin Kisner,69.64%,211,303