REMOVE18a,REMOVE18b,PLAYER_ID,PLAYER,SG_ARG_AVG,REMOVE18c,REMOVE18d
1,0,32839,Hideki Matsuyama,0.819,41.750,51
2,0,29221,Webb Simpson,0.635,25.397,40
3,0,58168,Davis Thompson,0.490,29.868,61
4,0,29908,C.T. Pan,0.462,19.877,43
5,0,33448,Justin Thomas,0.434,19.112,44
6,0,27349,Alex Noren,0.422,21.931,52
7,0,57975,Harry Hall,0.421,22.294,53
8,0,22371,Aaron Baddeley,0.415,17.850,43
9,0,46046,Scottie Scheffler,0.400,19.988,50
10,0,27936,Martin Laird,0.398,15.526,39
11,0,32367,Jorge Campillo,0.395,15.027,38
12,0,50525,Collin Morikawa,0.386,20.444,53
13,0,46442,Maverick McNealy,0.382,20.985,55
14,0,47993,Denny McCarthy,0.377,24.135,64
15,0,29725,Tony Finau,0.361,19.839,55
16,0,46441,Robby Shelton,0.357,18.187,51
17,0,35461,Beau Hossler,0.347,19.071,55
18,0,59143,Mac Meissner,0.326,14.036,43
19,0,35506,Mackenzie Hughes,0.319,19.442,61
20,0,30927,Brendon Todd,0.317,22.175,70
21,0,33486,Roger Sloan,0.304,10.036,33
22,0,28237,Rory McIlroy,0.303,15.135,50
23,0,34098,Russell Henley,0.286,14.887,52
23,0,39971,Sungjae Im,0.286,16.858,59
25,0,39977,Max Homa,0.283,15.540,55
26,0,26476,Chez Reavie,0.282,10.994,39
27,0,28775,Nate Lashley,0.264,9.763,37
28,0,30911,Tommy Fleetwood,0.259,13.444,52
28,0,34587,Chan Kim,0.259,12.168,47
30,0,40058,Zac Blair,0.249,12.191,49
31,0,36799,Stephan Jaeger,0.247,13.067,53
31,0,37455,Si Woo Kim,0.247,15.779,64
33,0,35450,Patrick Cantlay,0.242,10.403,43
34,0,48081,Xander Schauffele,0.240,12.740,53
35,0,34256,Andrew Putnam,0.239,13.363,56
36,0,50188,S.H. Kim,0.237,15.415,65
37,0,48887,Matt Wallace,0.234,10.984,47
38,0,26596,Ryan Moore,0.230,11.250,49
39,0,28089,Jason Day,0.223,11.389,51
40,0,59095,Chris Gotterup,0.219,10.089,46
41,0,33968,Thorbjørn Olesen,0.218,8.268,38
42,0,54591,Ben Griffin,0.209,13.346,64
43,0,51287,Ryo Hisatsune,0.205,10.474,51
44,0,46414,Aaron Rai,0.202,11.905,59
45,0,49771,J.T. Poston,0.201,11.664,58
46,0,51894,Vince Whaley,0.200,6.603,33
47,0,23108,Matt Kuchar,0.196,8.646,44
48,0,55789,Taylor Montgomery,0.193,7.128,37
49,0,27644,Brian Harman,0.190,12.182,64
50,0,45522,Christiaan Bezuidenhout,0.188,10.520,56
51,0,55893,Sam Stevens,0.165,9.064,55
52,0,52215,Robert MacIntyre,0.164,8.339,51
53,0,51997,Andrew Novak,0.154,8.467,55
54,0,37378,Min Woo Lee,0.149,6.696,45
55,0,29420,Billy Horschel,0.144,7.367,51
56,0,25900,Lucas Glover,0.143,8.589,60
57,0,47591,Eric Cole,0.139,9.599,69
58,0,39327,Ben Silverman,0.138,7.291,53
59,0,54783,Dylan Wu,0.137,7.264,53
60,0,32791,K.H. Lee,0.136,5.564,41
61,0,34255,Joseph Bramlett,0.132,6.451,49
62,0,60004,Jacob Bridgeman,0.129,4.773,37
62,0,52374,Brandon Wu,0.129,5.676,44
64,0,30926,Chris Kirk,0.128,6.402,50
65,0,60067,Joe Highsmith,0.124,4.083,33
66,0,32640,Troy Merritt,0.117,5.256,45
67,0,36699,Patrick Rodgers,0.105,6.279,60
68,0,40250,Taylor Pendrith,0.096,4.921,51
69,0,25493,Nick Taylor,0.093,5.221,56
70,0,47504,Sam Burns,0.089,4.447,50
71,0,51890,Greyson Sigg,0.085,3.996,47
72,0,55182,Tom Kim,0.080,5.308,66
73,0,40115,Adam Svensson,0.072,5.289,73
74,0,36326,David Lipsky,0.071,2.976,42
75,0,39975,Michael Kim,0.066,2.958,45
76,0,49947,Taylor Moore,0.059,3.614,61
77,0,34213,Grayson Murray,0.058,1.913,33
78,0,51766,Wyndham Clark,0.054,2.611,48
79,0,40098,Matt Fitzpatrick,0.051,2.738,54
80,0,12716,Charley Hoffman,0.049,1.927,39
80,0,34046,Jordan Spieth,0.049,2.797,57
82,0,33399,Adam Hadwin,0.048,2.520,52
83,0,48119,Ben Taylor,0.044,1.619,37
84,0,36801,Mark Hubbard,0.034,2.147,63
85,0,24024,Zach Johnson,0.032,1.029,32
86,0,33408,Tyson Alexander,0.027,1.176,44
87,0,48117,Kurt Kitayama,0.025,1.288,52
88,0,52955,Ludvig Åberg,0.023,1.192,51
89,0,34466,Peter Malnati,0.018,0.968,53
89,0,28252,Seamus Power,0.018,1.163,63
91,0,45609,Tyler Duncan,0.011,0.405,37
92,0,24502,Adam Scott,0.007,0.367,50
93,0,45157,Cam Davis,0.000,-0.020,56
93,0,34099,Harris English,0.000,-0.006,59
95,0,39997,Corey Conners,-0.002,-0.102,66
96,0,55454,Carl Yuan,-0.008,-0.334,41
97,0,52375,Doug Ghim,-0.010,-0.492,48
98,0,51349,Nico Echavarria,-0.013,-0.646,49
99,0,27214,Kevin Streelman,-0.018,-0.684,38
100,0,33141,Keegan Bradley,-0.021,-1.073,51
100,0,57900,Chandler Phillips,-0.021,-1.032,50
100,0,22405,Justin Rose,-0.021,-0.986,47
103,0,33948,Byeong Hun An,-0.024,-1.292,54
104,0,34374,Erik Barnes,-0.032,-1.080,34
105,0,33204,Shane Lowry,-0.035,-1.622,47
106,0,39324,J.J. Spaun,-0.043,-2.004,47
107,0,51977,Max Greyserman,-0.045,-1.994,44
108,0,47983,Chad Ramey,-0.048,-2.054,43
109,0,50484,Hayden Springer,-0.049,-1.795,37
110,0,32102,Rickie Fowler,-0.050,-2.801,56
111,0,34563,Chesson Hadley,-0.051,-2.182,43
112,0,27649,Brandt Snedeker,-0.062,-2.428,39
113,0,56630,Akshay Bhatia,-0.063,-3.847,61
113,0,57366,Cameron Young,-0.063,-3.800,60
115,0,47679,Victor Perez,-0.067,-3.285,49
116,0,59442,Parker Coody,-0.073,-3.158,43
117,0,47347,Adam Schenk,-0.077,-4.609,60
118,0,51634,Sahith Theegala,-0.082,-5.013,61
119,0,40026,Daniel Berger,-0.086,-3.173,37
119,0,23320,Ryan Palmer,-0.086,-2.737,32
121,0,55708,Hayden Buckley,-0.092,-4.337,47
122,0,27770,Camilo Villegas,-0.099,-3.071,31
123,0,52514,Trace Crowe,-0.105,-3.163,30
124,0,32757,Patton Kizzire,-0.108,-3.462,32
125,0,47483,Will Zalatoris,-0.116,-5.218,45
126,0,39546,Keith Mitchell,-0.123,-6.786,55
127,0,24980,Scott Gutschewski,-0.126,-3.154,25
128,-1,47995,Davis Riley,-0.127,-6.477,51
129,-1,46113,Ryan McCormick,-0.130,-4.304,33
130,-1,51696,Rico Hoey,-0.131,-5.115,39
131,-1,27139,David Skinns,-0.133,-5.733,43
132,-1,52666,Sami Valimaki,-0.136,-6.141,45
133,0,40162,Justin Lower,-0.145,-8.397,58
134,0,54628,Lee Hodges,-0.153,-9.634,63
135,0,37275,Sam Ryder,-0.154,-6.923,45
136,0,54421,Garrick Higgo,-0.156,-6.857,44
137,0,51600,Jimmy Stanger,-0.170,-4.416,26
138,0,36871,Matt NeSmith,-0.178,-8.029,45
139,0,27064,Jhonattan Vegas,-0.180,-5.933,33
140,0,30163,Henrik Norlander,-0.183,-4.747,26
141,-1,59866,Nick Dunlap,-0.184,-8.834,48
142,-1,48699,Callum Tarren,-0.185,-7.590,41
143,-1,34076,Joel Dahmen,-0.191,-9.336,49
144,-1,49960,Sepp Straka,-0.203,-10.775,53
145,-1,59836,Pierceson Coody,-0.211,-8.633,41
145,-1,57362,Austin Eckroat,-0.211,-12.024,57
147,-1,47420,Jake Knapp,-0.214,-12.613,59
148,-1,48867,Matti Schmid,-0.234,-9.134,39
149,-1,33653,Thomas Detry,-0.237,-13.023,55
150,-1,40006,Erik van Rooyen,-0.245,-13.239,54
151,-1,33413,Ben Martin,-0.255,-8.428,33
152,-1,50497,Adrien Dumont de Chassart,-0.263,-10.782,41
152,-1,35532,Tom Hoge,-0.263,-17.589,67
154,-1,38991,Alejandro Tosti,-0.264,-11.595,44
155,-1,34310,Alexander Björk,-0.266,-9.323,35
156,-1,52513,Carson Young,-0.268,-13.113,49
157,-1,29936,Ryan Fox,-0.290,-14.778,51
158,-1,35310,Lanto Griffin,-0.303,-11.809,39
159,-1,51070,Vincent Norrman,-0.323,-13.561,42
160,-1,32070,Rafael Campos,-0.337,-9.764,29
161,-1,46340,Alex Smalley,-0.338,-12.841,38
162,-1,36884,Ben Kohles,-0.356,-17.110,48
163,-1,27129,Luke List,-0.361,-16.969,47
164,-1,45242,Kevin Yu,-0.362,-17.010,47
165,-1,52453,Nicolai Højgaard,-0.368,-15.819,43
166,-1,54576,Patrick Fishburn,-0.374,-10.853,29
167,-1,31323,Gary Woodland,-0.389,-19.075,49
168,-1,47663,Kevin Dougherty,-0.423,-14.794,35
168,-1,48153,Matthieu Pavon,-0.423,-17.337,41
170,-1,50493,Justin Suh,-0.465,-18.153,39
171,-1,31646,Emiliano Grillo,-0.489,-29.842,61
172,-1,47988,Nick Hardy,-0.507,-26.848,53
173,-1,29478,Kevin Kisner,-0.510,-17.336,34
174,-1,48319,Tom Whitney,-0.539,-17.793,33
175,-1,28420,Ryan Brehm,-0.567,-18.695,33
176,-1,52372,Cameron Champ,-0.580,-17.990,31
177,-1,46717,Viktor Hovland,-0.645,-25.809,40
178,-1,37212,Paul Barjon,-0.932,-27.018,29